"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
619000952077-56,"PLUX Consulting - European Affairs & Communications",1,35000,"Advances interests of their clients",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/plux-consulting---european-affairs--communications?rid=619000952077-56
67271657425-70,"Brussels Direct",1,35000,"Advances interests of their clients",BELGIUM,BELGIUM,,1,,https://www.lobbyfacts.eu/datacard/brussels-direct?rid=67271657425-70
733481450099-54,"Alinea, Avocats Associés",0.75,35000,"Advances interests of their clients",FRANCE,FRANCE,,3,,https://www.lobbyfacts.eu/datacard/alinea-avocats-associés?rid=733481450099-54
846488546363-86,"Rivas Consulting",0.25,35000,"Advances interests of their clients",BELGIUM,BELGIUM,1,3,,https://www.lobbyfacts.eu/datacard/rivas-consulting?rid=846488546363-86
934697842219-33,IMConsult,0.35,35000,"Advances interests of their clients",BELGIUM,BELGIUM,,1,,https://www.lobbyfacts.eu/datacard/imconsult?rid=934697842219-33
152042396302-59,"Esperia Advocacy",1.5,30000,"Advances interests of their clients",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/esperia-advocacy?rid=152042396302-59
185534848366-38,"Highgate Advisory Ltd",0.2,30000,"Advances interests of their clients","UNITED KINGDOM","UNITED KINGDOM",,1,,https://www.lobbyfacts.eu/datacard/highgate-advisory-ltd?rid=185534848366-38
251481928095-20,"James Ramsay",1,30000,"Advances interests of their clients",BELGIUM,BELGIUM,1,6,,https://www.lobbyfacts.eu/datacard/james-ramsay?rid=251481928095-20
284609348291-29,"THOFFOOD SL",2.25,30000,"Advances interests of their clients",SPAIN,SPAIN,1,1,,https://www.lobbyfacts.eu/datacard/thoffood-sl?rid=284609348291-29
441860152484-75,ImpactEurope,0.2,30000,"Advances interests of their clients",SWEDEN,SWEDEN,2,2,9,https://www.lobbyfacts.eu/datacard/impacteurope?rid=441860152484-75
658927521102-20,"Exempla Management & Consulting",0.25,30000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/exempla-management--consulting?rid=658927521102-20
841420291738-73,"Dr. Johannes R. Gerstner",1,30000,"Advances interests of their clients",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/dr-johannes-r-gerstner?rid=841420291738-73
960626692761-95,"ContactEurope Małgorzata Handzlik",1,30000,"Advances interests of their clients",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/contacteurope-małgorzata-handzlik?rid=960626692761-95
001373249269-75,"ARÇELİK A.Ş.",0.2,25000,"Promotes their own interests or the collective interests of their members",TURKEY,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/arçeli̇k-aş?rid=001373249269-75
001634749272-03,"ASOCIACIÓN DE EMPRESARIOS DEL POLÍGONO DE SABÓN-ARTEIXO",1.3,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociación-de-empresarios-del-polígono-de-sabón-arteixo?rid=001634749272-03
002317551074-12,"International Facility Management Association Europe Middle East Africa",0.25,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/international-facility-management-association-europe-middle-east-africa?rid=002317551074-12
003058994490-80,"Stowarzyszenie Producentów Cementu",0.7,25000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/stowarzyszenie-producentów-cementu?rid=003058994490-80
003289421663-92,"Kroll Bond Rating Agency, LLC",0.4,25000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/kroll-bond-rating-agency-llc?rid=003289421663-92
004258218904-75,"European AVM Alliance",0.5,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-avm-alliance?rid=004258218904-75
004585041625-47,"C&A Mode GmbH & Co. KG",1,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,2,1,https://www.lobbyfacts.eu/datacard/ca-mode-gmbh--co-kg?rid=004585041625-47
005930614727-54,"Fédération Française des Télécoms",0.5,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,2,6,6,https://www.lobbyfacts.eu/datacard/fédération-française-des-télécoms?rid=005930614727-54
006482948856-57,"CHWMEG Inc.",1.2,25000,"Promotes their own interests or the collective interests of their members","UNITED STATES",POLAND,,,,https://www.lobbyfacts.eu/datacard/chwmeg-inc?rid=006482948856-57
00851204658-62,"Vereinigung Rohstoffe und Bergbau e. V.",0.5,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/vereinigung-rohstoffe-und-bergbau-e-v?rid=00851204658-62
008855336156-25,"Servicios Integrados Lasker S.L.",4.25,25000,"Advances interests of their clients",SPAIN,BELGIUM,3,11,,https://www.lobbyfacts.eu/datacard/servicios-integrados-lasker-sl?rid=008855336156-25
009613032395-62,"Social Business City Barcelona",1,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/social-business-city-barcelona?rid=009613032395-62
010109849251-54,"Federatie Nederlandse Rubber- en Kunststofindustrie",1,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/federatie-nederlandse-rubber--en-kunststofindustrie?rid=010109849251-54
010172838303-72,"Renewi Support B.V.",0.2,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/renewi-support-bv?rid=010172838303-72
011403294822-89,"Power2X B.V.",0.2,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/power2x-bv?rid=011403294822-89
013325324971-78,"Fertility Europe",2.75,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,3,3,,https://www.lobbyfacts.eu/datacard/fertility-europe?rid=013325324971-78
013596348877-66,"BIAL - Portela & Cª, S.A.",0.2,25000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/bial---portela--cª-sa?rid=013596348877-66
013841522595-24,"Terma A/S",1.5,25000,"Promotes their own interests or the collective interests of their members",DENMARK,BELGIUM,1,4,4,https://www.lobbyfacts.eu/datacard/terma-a-s?rid=013841522595-24
014184753116-13,"Confindustria Veneto Est - Area Metropolitana Venezia, Padova, Rovigo, Treviso",1.5,25000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/confindustria-veneto-est---area-metropolitana-venezia-padova-rovigo-treviso?rid=014184753116-13
015770040288-10,"Alexander Alvaro",1,25000,"Advances interests of their clients",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/alexander-alvaro?rid=015770040288-10
017101527705-79,"HAK-IS TRADE UNION CONFEDERATION",3.6,25000,"Promotes their own interests or the collective interests of their members",TURKEY,TURKEY,,,,https://www.lobbyfacts.eu/datacard/hak-is-trade-union-confederation?rid=017101527705-79
017343011782-42,"European Union Road Federation",3,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,17,,https://www.lobbyfacts.eu/datacard/european-union-road-federation?rid=017343011782-42
018097547406-18,"Services Industrial Professional Technical Union",0.3,25000,"Promotes their own interests or the collective interests of their members",IRELAND,IRELAND,,,1,https://www.lobbyfacts.eu/datacard/services-industrial-professional-technical-union?rid=018097547406-18
019452351003-33,"Verband Österreichischer Entsorgungsbetriebe",0.1,25000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,1,https://www.lobbyfacts.eu/datacard/verband-österreichischer-entsorgungsbetriebe?rid=019452351003-33
01953872943-65,"INTERNATIONAL FEDERATION OF MUSICIANS",0.5,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,7,4,https://www.lobbyfacts.eu/datacard/international-federation-of-musicians?rid=01953872943-65
023312592224-22,"Frankfurt School of Finance & Management gGmbH",0.1,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/frankfurt-school-of-finance--management-ggmbh?rid=023312592224-22
024067593864-07,"CONF.E.P.I. -Confederazione Europea Professionisti e Imprese",1,25000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/confepi--confederazione-europea-professionisti-e-imprese?rid=024067593864-07
024332447563-31,Novocarbo,0.85,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/novocarbo?rid=024332447563-31
025144329261-57,"Juraj Stodolovský",0.5,25000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/juraj-stodolovský?rid=025144329261-57
025560991706-94,"Fédération Nationale des Transports de Voyageurs",0.25,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/fédération-nationale-des-transports-de-voyageurs?rid=025560991706-94
025938212702-61,"Finnish Authors´ Copyright Society Sanasto",0.4,25000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,2,https://www.lobbyfacts.eu/datacard/finnish-authors´-copyright-society-sanasto?rid=025938212702-61
027031550931-84,"Infosys Limited",0.35,25000,"Promotes their own interests or the collective interests of their members",INDIA,"UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/infosys-limited?rid=027031550931-84
028362550210-63,"Bundesverband Energiespeicher Systeme e. V.",0.5,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bundesverband-energiespeicher-systeme-e-v?rid=028362550210-63
028514150995-92,"ASOCIACION ESPAÑOLA DE COGENERACION",0.2,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociacion-española-de-cogeneracion?rid=028514150995-92
029172425614-95,Francéclat,0.75,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/francéclat?rid=029172425614-95
030092221347-76,"ASOCIACIÓN ESPAÑOLA DE FABRICANTES DE MAGNESIA",0.75,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,1,,https://www.lobbyfacts.eu/datacard/asociación-española-de-fabricantes-de-magnesia?rid=030092221347-76
032693316451-70,"The Russell Group of Universities",0.5,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,13,https://www.lobbyfacts.eu/datacard/the-russell-group-of-universities?rid=032693316451-70
034467693444-45,"Aura blockchain consortium",0.95,25000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/aura-blockchain-consortium?rid=034467693444-45
0346440357-87,"European Association of Chemical Distributors",0.5,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,2,2,https://www.lobbyfacts.eu/datacard/european-association-of-chemical-distributors?rid=0346440357-87
035696894781-13,"European Aliphatic Isocyanates Producers Association",0.5,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-aliphatic-isocyanates-producers-association?rid=035696894781-13
036035319826-92,"ecotel communication AG",0.5,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/ecotel-communication-ag?rid=036035319826-92
036202923764-02,"Electronic Debt Markets Association",0.5,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/electronic-debt-markets-association?rid=036202923764-02
03624315145-61,BZB-Fedafin,0.1,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/bzb-fedafin?rid=03624315145-61
038450740479-58,"MVV Energie AG",0.25,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/mvv-energie-ag?rid=038450740479-58
039049138497-12,"Finnish Center for Artificial Intelligence",0.25,25000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/finnish-center-for-artificial-intelligence?rid=039049138497-12
039988150211-35,"International Collaboration on Cosmetics Safety",1.2,25000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/international-collaboration-on-cosmetics-safety?rid=039988150211-35
03999415319-19,"European Council of Optometry and Optics",0.5,25000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,,3,1,https://www.lobbyfacts.eu/datacard/european-council-of-optometry-and-optics?rid=03999415319-19
040739718653-81,"Affalds- og Ressourceindustrien",0.2,25000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/affalds--og-ressourceindustrien?rid=040739718653-81
041077193145-51,"Spitzenverband Digitale Gesundheitsversorgung e.V.",0.35,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/spitzenverband-digitale-gesundheitsversorgung-ev?rid=041077193145-51
041401945300-90,SpiritsNL,0.5,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/spiritsnl?rid=041401945300-90
04450539336-52,"Eurostar International Ltd",0.5,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",FRANCE,,9,,https://www.lobbyfacts.eu/datacard/eurostar-international-ltd?rid=04450539336-52
044763295827-08,"European Federation of Catering Equipment Manufacturers",0.1,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-federation-of-catering-equipment-manufacturers?rid=044763295827-08
044840152318-38,"Atlantic Copper S.L.U.",0.5,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,2,https://www.lobbyfacts.eu/datacard/atlantic-copper-slu?rid=044840152318-38
045379392202-03,"Arijandas Sliupas",1,25000,"Advances interests of their clients",LITHUANIA,LITHUANIA,1,1,,https://www.lobbyfacts.eu/datacard/arijandas-sliupas?rid=045379392202-03
046094048122-15,"SaverOne 2014 Ltd.",0.35,25000,"Promotes their own interests or the collective interests of their members",ISRAEL,ISRAEL,,,,https://www.lobbyfacts.eu/datacard/saverone-2014-ltd?rid=046094048122-15
047581317435-94,"Organización de Productores de Pesca Fresca del Puerto de Vigo",0.5,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/organización-de-productores-de-pesca-fresca-del-puerto-de-vigo?rid=047581317435-94
047697728659-37,shecco,0.25,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,4,,https://www.lobbyfacts.eu/datacard/shecco?rid=047697728659-37
047885236376-72,"ASOCIACIÓN ANDALUZA DE DESGUACES",0.4,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociación-andaluza-de-desguaces?rid=047885236376-72
048030953098-10,"EPC SA",0.85,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/epc-sa?rid=048030953098-10
048578891753-87,PHARMHIM,0.7,25000,"Promotes their own interests or the collective interests of their members",UKRAINE,UKRAINE,,,1,https://www.lobbyfacts.eu/datacard/pharmhim?rid=048578891753-87
049139043109-57,"Unión de Promotores y Empresarios del Vapeo",0.75,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/unión-de-promotores-y-empresarios-del-vapeo?rid=049139043109-57
050415314994-69,"Commercial Real Estate Finance Council Europe",0.25,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/commercial-real-estate-finance-council-europe?rid=050415314994-69
052814338340-63,"The Vegan Society",0.45,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/the-vegan-society?rid=052814338340-63
052846838339-58,"Hela Gewürzwerk Hermann Laue GmbH",0.25,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/hela-gewürzwerk-hermann-laue-gmbh?rid=052846838339-58
054728751431-03,"Lithuanian Long Distance Fisheries Association",0.75,25000,"Promotes their own interests or the collective interests of their members",LITHUANIA,LITHUANIA,,,,https://www.lobbyfacts.eu/datacard/lithuanian-long-distance-fisheries-association?rid=054728751431-03
056206692313-93,"ASOCIACIÓN EMPRESARIAL HOTELERA DE MADRID",0.1,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociación-empresarial-hotelera-de-madrid?rid=056206692313-93
057826241328-95,"Swedish Private Equity & Venture Capital Association",0.2,25000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,1,https://www.lobbyfacts.eu/datacard/swedish-private-equity--venture-capital-association?rid=057826241328-95
05829149535-55,"Chartered Institution of Wastes Management",0.5,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/chartered-institution-of-wastes-management?rid=05829149535-55
05847066277-30,"The European Association of the generating set industry",0.5,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/the-european-association-of-the-generating-set-industry?rid=05847066277-30
058489048284-67,"General Index Ltd.",0.45,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/general-index-ltd?rid=058489048284-67
059325051424-57,"OX2 AB",0.3,25000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,,https://www.lobbyfacts.eu/datacard/ox2-ab?rid=059325051424-57
059523148868-86,Tremau,0.1,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,2,https://www.lobbyfacts.eu/datacard/tremau?rid=059523148868-86
060318238252-62,"EEW Energy from Waste GmbH",0.85,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,1,5,1,https://www.lobbyfacts.eu/datacard/eew-energy-from-waste-gmbh?rid=060318238252-62
060579941127-92,"Tony's Chocolonely",0.5,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/tonys-chocolonely?rid=060579941127-92
063377615456-10,"European Sign Federation",0.25,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-sign-federation?rid=063377615456-10
063571949066-13,"ANGA Der Breitbandverband e.V.",0.35,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,1,,https://www.lobbyfacts.eu/datacard/anga-der-breitbandverband-ev?rid=063571949066-13
063687428620-87,"Vereniging VACO, Bedrijfstakorganisatie van de Banden- en Wielenbranche",0.3,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/vereniging-vaco-bedrijfstakorganisatie-van-de-banden--en-wielenbranche?rid=063687428620-87
063789047077-65,"European Thermal Paper Association",0.1,25000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/european-thermal-paper-association?rid=063789047077-65
064161336056-08,Isiline,0.5,25000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,1,,https://www.lobbyfacts.eu/datacard/isiline?rid=064161336056-08
066028495169-09,"The Outdoor Microfibre Consortium Limited",0.2,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/the-outdoor-microfibre-consortium-limited?rid=066028495169-09
066047295869-94,"Circular Materials",0.1,25000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,1,https://www.lobbyfacts.eu/datacard/circular-materials?rid=066047295869-94
066665253038-31,"CELULOSE NIPO-BRASILEIRA S/A",0.5,25000,"Promotes their own interests or the collective interests of their members",BRAZIL,BRAZIL,,,1,https://www.lobbyfacts.eu/datacard/celulose-nipo-brasileira-s-a?rid=066665253038-31
067117795544-64,"Kalthoff Luftfilter und Filtermedien GmbH",0.3,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/kalthoff-luftfilter-und-filtermedien-gmbh?rid=067117795544-64
068113492541-41,ARESIA,0.7,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/aresia?rid=068113492541-41
068175396502-01,"Bavarian Nordic A/S",0.5,25000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/bavarian-nordic-a-s?rid=068175396502-01
068793895042-96,"Seyi Akiwowo LTD",0.5,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/seyi-akiwowo-ltd?rid=068793895042-96
069449920691-52,"AVIONS DE TRANSPORT REGIONAL",0.5,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,1,3,https://www.lobbyfacts.eu/datacard/avions-de-transport-regional?rid=069449920691-52
069926525931-96,"Srednja šola Josipa Jurčiča Ivančna Gorica",0.25,25000,"Promotes their own interests or the collective interests of their members",SLOVENIA,SLOVENIA,,,,https://www.lobbyfacts.eu/datacard/srednja-šola-josipa-jurčiča-ivančna-gorica?rid=069926525931-96
070666441096-14,"Croatian alliance of consumers",0.5,25000,"Promotes their own interests or the collective interests of their members",CROATIA,CROATIA,,,,https://www.lobbyfacts.eu/datacard/croatian-alliance-of-consumers?rid=070666441096-14
070762412733-39,"Wikimedia Italia - Associazione per la diffusione della conoscenza libera - APS-ETS",0.25,25000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,3,,https://www.lobbyfacts.eu/datacard/wikimedia-italia---associazione-per-la-diffusione-della-conoscenza-libera---aps-ets?rid=070762412733-39
070846748781-26,"AEN Raw Materials",4,25000,"Promotes their own interests or the collective interests of their members",GERMANY,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/aen-raw-materials?rid=070846748781-26
071334293727-56,"Ontier Italia S.r.l. STA",1,25000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/ontier-italia-srl-sta?rid=071334293727-56
071765918148-46,"PGE Ekoserwis S.A.",0.5,25000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/pge-ekoserwis-sa?rid=071765918148-46
072648396332-23,"Partenariat Français pour l'Eau",0.35,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/partenariat-français-pour-leau?rid=072648396332-23
072692941225-13,"Association of Producers of Carob Bean Gum",0.35,25000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/association-of-producers-of-carob-bean-gum?rid=072692941225-13
073081941259-09,"Cihlářský svaz Čech a Moravy",0.5,25000,"Promotes their own interests or the collective interests of their members","CZECH REPUBLIC","CZECH REPUBLIC",,,,https://www.lobbyfacts.eu/datacard/cihlářský-svaz-čech-a-moravy?rid=073081941259-09
073159850117-64,"AR VISION 2049 SL",0.75,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/ar-vision-2049-sl?rid=073159850117-64
073833319732-61,"Parkinson's Europe",0.5,25000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,,,,https://www.lobbyfacts.eu/datacard/parkinsons-europe?rid=073833319732-61
073919148838-41,"ECoD gemeinnützige GmbH",0.95,25000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/ecod-gemeinnützige-gmbh?rid=073919148838-41
074704552447-24,"Euromed Federation of Socio-Cultural and neighborhood centers",0.3,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/euromed-federation-of-socio-cultural-and-neighborhood-centers?rid=074704552447-24
074765749882-39,"Xella International GMBH",0.4,25000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/xella-international-gmbh?rid=074765749882-39
075545838214-04,"ecoinvent Association",0.45,25000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/ecoinvent-association?rid=075545838214-04
07655452075-36,"European Pump Manufacturers Association",0.5,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-pump-manufacturers-association?rid=07655452075-36
077737538099-49,Textilimportörerna,0.1,25000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,,https://www.lobbyfacts.eu/datacard/textilimportörerna?rid=077737538099-49
0804666277-93,"Strukton Rail",0.25,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,3,https://www.lobbyfacts.eu/datacard/strukton-rail?rid=0804666277-93
081716245099-16,Mirakl,0.35,25000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,3,5,https://www.lobbyfacts.eu/datacard/mirakl?rid=081716245099-16
082119050457-22,"Uniao das Mutualidades Portuguesas",0.75,25000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,1,https://www.lobbyfacts.eu/datacard/uniao-das-mutualidades-portuguesas?rid=082119050457-22
082401251351-82,"Ukrainian Bar Association",0.5,25000,"Promotes their own interests or the collective interests of their members",UKRAINE,UKRAINE,,,,https://www.lobbyfacts.eu/datacard/ukrainian-bar-association?rid=082401251351-82
082774214711-83,"Neova Oy",0.5,25000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,3,https://www.lobbyfacts.eu/datacard/neova-oy?rid=082774214711-83
082978347295-79,"Yapily Connect UAB",0.1,25000,"Promotes their own interests or the collective interests of their members",LITHUANIA,LITHUANIA,,,,https://www.lobbyfacts.eu/datacard/yapily-connect-uab?rid=082978347295-79
085057391751-17,"Royal Belgian Shipowners' Association",0.75,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/royal-belgian-shipowners-association?rid=085057391751-17
085126493427-14,"UK Transport in Europe",0.5,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/uk-transport-in-europe?rid=085126493427-14
087556034207-96,"European Biocidal Silver Task Force",0.5,25000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-biocidal-silver-task-force?rid=087556034207-96
088467852166-76,Stiba,1,25000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/stiba?rid=088467852166-76
089094736127-14,"ORGANIZACION DE PRODUCTORES PESQUEROS DEL PUERTO DE BURELA",0.5,25000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/organizacion-de-productores-pesqueros-del-puerto-de-burela?rid=089094736127-14
